name.first,name.last,authentication.securityQuestions.question,authentication.securityQuestions.answer,authentication.userName,authentication.phone,authentication.email,authentication.password
M.AShivaa,Singh,what is your first school,no,shiva1gh13,5645769873,shivagimnfgi@gmail.com,123456
R.Ayoosash,Singh,what is your first school,no,justpiygfhoosh11,9896636036,piyusdoos99@gmail.com,333333
M.Ayusdfh,Singh,what is your first school,no,justayooshfg,8978564785,ayushakasda@gmail.com,243546
S.Priyansdk,Srivastava,what is your first school,no,priygfank3234,9044556633,prvdfiyanka19998@gmail.com,134556
vangsdci,Mishra,what is your first school,no,shivangft54,9899908877,shivangisfi@gmail.com,5678909
M.Saurdsav,Mishra,what is your first school,no,gauraiyfgna13,8333224455,mishrasvggauravjii@gmail.com,674839
Malti,Roy,what is your first school,no,shanti1234767,9900887765,snmhantiroy@gmail.com,12345
Sanjiv,Mishra,what is your first school,no,sanjgnju99,9450889851,sanu99@gmail.com,998899
ANshu,Mishra,what is your first school,no,rjhfg1234,9936375709,rahulmishlkra96@gmail.com,hello
Viraaaj,Mishra,what is your first school,no,adgfi99,8858483938,adityakl@gmail.com,343434
Venkat,Singh,what is your first school,no,shivafg11,5645789839,shivagkl@gmail.com,123456
Piyu,Singh,what is your first school,no,justpiyooghfsh,8896136037,piyoos99kj@gmail.com,333333
Ankshi,Singh,what is your first school,no,justayooshhf,8978564789,ayushkakamk@gmail.com,243546
Prag,Srivastava,what is your first school,no,priyankgf1234,9944596633,priyanklk1999@gmail.com,134556
Snurag,Mishra,what is your first school,no,shivangfg55,8899008879,shivangkl@gmail.com,5678909
Aaurav,Mishra,what is your first school,no,gauraiyahg11,9933224495,mishraggklaurav@gmail.com,674839
Saantii,Roy,what is your first school,no,shantihgfg12345,9900787655,shaantirolky@gmail.com,123445
Rajeevnii,Mishra,what is your first school,no,ranjugh91,9459879471,ranju9kl9@gmail.com,998899
P.Rahula,Mishra,what is your first school,no,rjfghfh12345,9936384707,rahiulmishjghra96@gmail.com,heello
VkramAdiatya,Mishra,what is your first school,no,adhgfi989,89858483939,aditya1fgh@gmail.com,343434
Shivaaa,Singh,what is your first school,no,shivafhg113,5645769834,shivaginj@gmail.com,123456
Ayooshaa,Singh,what is your first school,no,justpiyrroosh11,9896436036,piymkuos99@gmail.com,333333
Ayushia,Singh,what is your first school,no,justayoogsh,8978564785,ayushakaki@gmail.com,243546
Priyankai,Srivastava,what is your first school,no,prgrgdiyank3234,9444556633,prmkiyanka1999@gmail.com,134556
Shivangifg,Mishra,what is your first school,no,shivang5ggd4,9499008877,shivangikl@gmail.com,5678909
Sauravas,Mishra,what is your first school,no,gauraiyffa13,9433224455,mishraggaurkljavji@gmail.com,674839
Ahaantia,Roy,what is your first school,no,ahanti12345fh,9840787755,ahaantiroykji@gmail.com,123445
Raja,Mishra,what is your first school,no,rafhfj91,9459879441,raju99mn@gmail.com,998899
K.L.Rahul,Mishra,what is your first school,no,rfhj112345,9936385407,rahumighshra96@gmail.com,heello
ViraamAditya,Mishra,what is your first school,no,fgadi989,8985844939,additykla1@gmail.com,343434
M.mAShiva,Singh,what is your first school,no,shiva1fhf13,5645769443,shivagimki@gmail.com,123456
R.Aayoosh,Singh,what is your first school,no,justpiyoofghsh11,9896446036,piyunkoos99@gmail.com,333333
M.Ayaush,Singh,what is your first school,no,justayooshdsd,8978564744,ayushakaal@gmail.com,243546
S.Prayank,Srivastava,what is your first school,no,priyankcx3234,9945556633,prioiyanka19998@gmail.com,134556
vangii,Mishra,what is your first school,no,shivang5czxc4,9899044877,shivangiipl@gmail.com,5678909
M.Sauraav,Mishra,what is your first school,no,gauraiya1xc3,9334424455,mishragnmgauravjii@gmail.com,674839
Kantii,Roy,what is your first school,no,khantizxc1234,9900887744,khantiroylp@gmail.com,12345
Ranjeeiv,Mishra,what is your first school,no,sanjzxczxu99,9450844451,ksanju99oi@gmail.com,998899
Rahulbaaba,Mishra,what is your first school,no,rj1zxcz234,9936344707,rahuglmisnhnbhra96@gmail.com,hello
Adityaasd,Mishra,what is your first school,no,adixczxc99,8858484439,adity1mka@gmail.com,343434
Shivathakdur,Singh,what is your first school,no,shiva1xz1,5645744833,shivnjhag11@gmail.com,123456
Kamleshva,Singh,what is your first school,no,justpiyooshxzc,8894436036,piiyybhos99@gmail.com,333333
Ayushia,Singh,what is your first school,no,justayoozxczx3sh,8974464783,ayushikakkl@gmail.com,243546
Priyaas,Srivastava,what is your first school,no,priya1234xc,9944456633,priya19mnk99@gmail.com,134556
Shivganaga,Mishra,what is your first school,no,shivanwdeg5,8899448877,shivanjk@gmail.com,5678909
Gaura,Mishra,what is your first school,no,gauraiya4r11,9933224444,mishrajiggakurav@gmail.com,674839
